DANCER_NAME,bass 2 bass,DXY!,GLITTER,Jetcoaster Windy,KISS KISS KISS,MAX.(period),Star Gate Heaven (FUTURE LOVE Mix),創世ノート,BRILLIANT 2U (STREAM Special),DUAL STRIKER,Somehow You Found Me,Strawberry Chu♡Chu♡,The Ashes of Boreas,tokyoEVOLVED (TYPE2),革命(X-Special),Happy Dance Day 2 U,IRON HEART,Let's DANCE aROUND!!,PARANOiA Rebirth(X-Special),Plan 8,Reach The Sky Without you,未来（ダ）FUTURE,恋閃繚乱,ACE FOR ACES,DOUBLE TORNARD,insist,Prey,The legend of MAX,Robot Footwork,ENDYMION,The History of the Future,Dance Dance Revolution(X-Special)
LI-NO,999900,999850,999680,999750,999820,999830,999830,999700,999760,999790,999780,999810,997620,999730,999770,999820,999660,997800,999850,999470,997060,999840,997740,996190,998130,997870,996860,997920,997270,986000,997010,999810
TAIIGAME,999730,999740,993110,999740,999800,999750,999780,999480,999750,999610,999570,999700,997590,995310,992930,999700,999590,998690,999760,997330,995770,999780,991640,991940,995290,995140,996860,995150,998500,981260,996180,999890
IU-YOKA.,999790,999730,991310,---,---,999650,---,291960,997470,993240,---,999740,988880,996330,988750,990850,---,990410,998950,997920,999440,999690,998390,987950,999420,987260,995370,999520,993110,995060,947020,994490
GARAMIMI,999760,999820,998050,999630,999840,997420,999850,999570,999830,999690,999850,999560,997810,996240,996630,999630,998500,995560,998980,996510,996580,998750,999440,994930,996400,994950,995790,992770,998590,985790,998780,999740
QU4RTZ,999830,999680,995420,999580,999720,992570,999710,996880,997320,999810,999670,999710,993300,974920,980360,999610,999580,957760,997290,999500,999630,997000,991640,980980,995810,995000,994030,991090,996470,993310,997000,---
LIGHTUN,999790,999860,999580,999660,996360,999820,999860,997360,999840,999780,998700,998750,995020,994160,996710,999610,997760,998630,996700,984070,997150,998810,996080,988990,997840,995020,983680,990480,994530,993120,998930,999810
LUNARTIC,999490,998650,996490,998560,---,999770,998520,998940,992140,999620,999820,999630,990750,959410,978340,999440,999590,994340,999550,996360,997190,999760,994520,992610,999300,995010,995830,998710,996800,995660,998790,999820
SIANO,999730,999700,996450,997330,996390,988650,998620,996900,997340,999800,999720,996570,996750,993900,995270,999780,999750,995930,999590,998890,997810,999730,998590,990330,998860,996730,994460,995290,992800,992750,998050,999670
NAOTO,999740,997050,998670,---,999710,---,---,998840,---,---,999720,---,980630,---,975600,995010,996670,---,997900,999620,999760,999920,997750,992230,998170,992940,993820,990780,978410,989460,---,998660
AAA,996160,997350,990550,996580,988270,949150,994900,988110,971370,992660,999510,---,---,---,984690,---,993450,969270,984070,997270,982340,998010,992820,987730,997100,989680,974490,981330,964840,978120,995050,997500
M!SH,999800,999810,999630,999670,999850,999700,999840,999690,999810,999650,999770,999700,998630,999700,998600,999680,---,999470,---,999590,997740,999550,994640,---,---,997710,---,997760,---,---,---,999810
MOTTI,999870,999800,997290,988380,999870,984280,999740,997980,999740,998130,999810,999770,992490,995270,994420,999550,999830,998680,999700,997060,998960,999460,993130,996310,996470,993260,991680,994400,994590,988900,999720,999820
EDA-BEAN,999840,995050,991330,999630,989460,999880,977940,995800,974800,996430,988330,991060,983680,963000,996530,999840,999710,991800,982520,999610,996700,999400,994310,992220,995890,992540,994140,992640,973460,990830,984660,999770
MUFFET,999720,996190,---,985510,995070,991290,949030,985340,986720,997910,996370,994500,990410,983100,997500,998290,999490,989490,998730,993220,997870,999530,995190,988400,994190,992050,983290,990120,984950,978650,---,997350
TOK0?,999690,999830,999720,999770,999800,999670,999810,994470,999700,999710,998710,999810,999620,996400,997610,999720,999610,991780,999750,998050,999550,999580,995070,993800,991810,998660,999380,996280,997270,997200,996430,996990
ATYN,995400,997140,987290,992930,997500,993760,996020,996210,991310,998780,996290,995530,995070,986570,992560,999570,998600,983210,998080,998960,999690,999730,997020,987150,998670,991680,998740,996220,973380,895950,997870,996540
WIZARD1,994330,998350,991510,979630,983460,991010,997280,992430,987270,998000,995330,984810,993950,991830,996340,996920,999670,990680,994510,990020,995300,997920,993890,990560,991180,984670,975590,997700,997060,980650,993100,---
CKWP,998570,999730,999480,998680,999700,993490,999650,997890,998490,999580,999680,999430,989590,994030,993320,998660,999390,984260,998020,996220,994230,999310,996600,984530,992090,985300,982210,983910,993760,981160,996070,999740
DORIA2,999860,999920,994750,999810,999840,999830,999770,999730,999520,999790,999750,999840,991510,999800,999720,999770,999730,996030,999750,999740,999760,999720,999530,997310,999740,999320,999440,992860,992380,997810,999740,997710
HAISHIN!,999890,999910,999690,999830,999960,999880,999910,998940,998330,999760,999940,999770,993160,992120,998760,999840,997630,990100,999520,996170,998080,999760,995340,989230,999560,992160,996890,991230,996850,989220,997200,999770
KAEDE.,998450,999710,997000,999690,999840,997240,999600,998580,997240,999660,999680,998530,994000,998560,986340,999590,998400,982230,998150,999510,998860,999670,995120,995540,998170,995640,999380,993780,994590,990350,991510,997630
HECATIER,996330,996770,995450,976070,999700,975230,994800,992490,992560,990860,991390,991310,997480,981500,990910,993460,997550,992550,991000,992420,992660,999330,990810,993890,997310,992450,994810,991830,995700,990780,994930,991110
ALCAT,998640,999790,995850,999510,999710,997220,996920,996730,991260,998930,996040,999830,997480,994210,996220,997090,995350,985170,998020,994890,993480,999680,993160,988630,992970,994270,987260,991010,990530,973030,993050,994340
DOBUNE,981590,999680,---,---,982020,955810,---,977360,964430,---,994150,990520,997500,---,973520,---,997300,980010,984960,994180,964960,998670,992680,989360,997130,994900,994340,971360,999490,948560,996740,998600
