DANCER_NAME,bass 2 bass,DXY!,GLITTER,Jetcoaster Windy,KISS KISS KISS,MAX.(period),Star Gate Heaven (FUTURE LOVE Mix),創世ノート,BRILLIANT 2U (STREAM Special),DUAL STRIKER,Somehow You Found Me,Strawberry Chu♡Chu♡,The Ashes of Boreas,tokyoEVOLVED (TYPE2),革命(X-Special),Happy Dance Day 2 U,IRON HEART,Let's DANCE aROUND!!,PARANOiA Rebirth(X-Special),Plan 8,Reach The Sky Without you,未来（ダ）FUTURE,恋閃繚乱,ACE FOR ACES,DOUBLE TORNARD,insist,Prey,The legend of MAX,Robot Footwork,ENDYMION,The History of the Future,Dance Dance Revolution(X-Special)
LI-NO,999900,999850,999680,999750,999820,999830,999830,999700,999760,999790,999780,999810,997620,999730,999770,999820,999660,997800,999850,999470,997060,999840,997740,996190,998130,997870,996860,997920,997270,986000,997010,999810
TAIIGAME,999730,999780,993110,999740,999850,999750,999780,999480,999750,999610,999570,999700,997590,995310,992930,999700,999590,998690,999760,998780,995770,999780,991640,991940,995290,995140,996860,995150,998500,981260,996180,999890
IU-YOKA.,999790,999730,991310,---,994830,999650,---,291960,997470,993240,---,999740,988880,997440,995320,990850,---,994440,998950,997920,999440,999690,998390,997490,999420,987260,995370,999520,993110,995060,947020,998540
GARAMIMI,999760,999820,998050,999630,999840,997420,999850,999570,999830,999690,999850,999560,997810,996240,996630,999630,998760,995560,998980,997960,997030,998750,999440,994930,996400,994950,996120,996300,998590,985790,998780,999740
QU4RTZ,999830,999710,999650,999730,999870,999830,999800,999810,999580,999810,999770,999710,999570,995100,993560,999730,999860,993510,999770,999640,999680,999780,996740,997940,996990,995140,999580,996440,998160,994520,998900,---
LIGHTUN,999790,999860,999580,999660,998710,999820,999860,997360,999840,999840,998700,998750,995020,997500,996710,999610,997760,998630,996700,984070,997150,998810,996080,988990,997840,995020,983680,990480,996360,993120,998930,999810
LUNARTIC,999490,998650,997240,998560,---,999770,998520,998940,992140,999620,999820,999630,990750,959410,978340,999440,999590,994340,999550,996360,997190,999760,994520,994570,999300,997650,995830,998710,999510,995660,998790,999820
SIANO,999730,999700,996450,997330,999780,988650,998620,996900,997340,999800,999810,996570,998470,995210,995270,999780,999750,997820,999660,998890,997810,999730,998590,990330,998860,996730,994460,995290,992800,992750,998050,999670
NAOTO,999740,999670,998670,996890,999710,996070,---,998840,---,---,999720,---,980630,---,975600,995010,996670,---,999800,999620,999760,999920,997750,992230,999420,992940,993820,990780,978410,989460,---,999830
AAA,996160,997350,990550,996580,988270,949150,994900,988110,971370,992660,999510,---,---,---,984690,---,993450,969270,984070,997270,982340,998010,992820,987730,997100,989680,974490,981330,964840,978120,995050,997500
M!SH,999870,999920,999630,999700,999850,999700,999840,999690,999810,999650,999770,999700,998630,999700,998600,999740,999720,999470,---,999590,997740,999550,997070,994420,997410,997710,991780,997760,997430,---,---,999810
MOTTI,999870,999810,997290,988380,999890,991700,999800,998050,999740,998130,999810,999770,992490,995270,996510,999760,999830,998680,999700,998940,998960,999760,993130,996310,996470,993260,996030,994400,994590,988900,999720,999820
EDA-BEAN,999840,999810,994610,999630,999840,999880,999730,995800,996090,999740,999540,999570,997680,990850,999710,999840,999710,992670,994020,999610,996700,999660,994570,995210,998880,992540,994140,992640,991200,990830,994800,999770
MUFFET,999720,998620,993750,997550,998410,991290,949030,996340,993710,998810,998630,994500,990410,983100,997500,998290,999490,992470,998730,993220,999480,999530,995190,988400,994190,992050,983290,990120,984950,978650,993500,997350
TOK0?,999690,999830,999720,999770,999800,999670,999810,994470,999700,999710,998710,999810,999620,996400,997610,999720,999610,994350,999750,998050,999550,999580,995070,993800,994880,998660,999380,996280,997270,997200,996430,996990
ATYN,995400,997140,987290,992930,999730,993760,996020,996210,993530,999700,996290,999630,995070,986570,992560,999570,998600,983210,998950,998960,999690,999730,997020,993730,998670,991680,998740,996220,973380,957750,999770,996540
WIZARD1,999640,999780,996320,999630,999730,998490,999690,999240,997230,998000,995330,994750,993950,999600,996340,996920,999670,990680,994990,990020,998710,997920,994800,990560,998120,993280,975590,997700,997060,980650,993100,999700
CKWP,999580,999730,999480,999410,999700,999340,999650,999610,999680,999580,999680,999430,991520,998430,993320,998690,999390,993430,999700,998680,998620,999310,996600,990630,996030,987990,989730,988870,993760,981160,996070,999740
DORIA2,999860,999920,999660,999870,999840,999830,999770,999730,999520,999900,999870,999840,996780,999800,999720,999770,999730,996030,999760,999740,999910,999720,999530,998210,999740,999320,999440,992860,992380,997990,999840,999790
HAISHIN!,999890,999910,999690,999830,999960,999880,999910,998940,999780,999810,999940,999770,996740,992120,998760,999840,997630,990850,999690,996170,998080,999760,995340,989230,999560,995200,996890,995110,996850,989220,997200,999770
KAEDE.,998450,999710,997000,999690,999840,998500,999670,998580,997250,999660,999680,999380,994000,998560,986340,999590,999430,982230,998150,999510,999630,999670,997710,995540,998170,995640,999380,996830,994590,990350,991510,997630
HECATIER,996330,996770,995450,976070,999700,975230,994800,992490,992560,990860,991390,991310,997480,981500,990910,993460,997550,992550,991000,992420,992660,999330,990810,993890,997310,992450,994810,991830,995700,990780,994930,991110
ALCAT,998640,999790,997170,999510,999890,999760,999570,998770,998480,999740,998640,999830,997480,994210,996220,998670,995350,985170,998020,994890,996750,999680,993160,988630,992970,994270,987260,991010,990530,973030,993050,999580
DOBUNE,981590,999680,995310,995000,999890,968430,997440,995770,986990,---,998720,994570,997500,974590,994380,998820,997300,981590,984960,994180,996270,998670,992680,989360,997130,994900,994340,971360,999490,978480,997140,998600
